1.489,0.02,0.02,-0.02
1.495,0,0.02,-0.02
1.498,-0.03,0.01,-0.01
1.503,-0.06,0.01,0
1.517,-0.08,0.01,0
1.518,-0.09,0.01,0
1.519,-0.11,0.01,0.01
1.522,-0.11,0,0.01
1.551,-0.11,-0.01,0.02
1.552,-0.1,-0.02,0.01
1.553,-0.09,-0.02,0.01
1.554,-0.08,-0.04,0.01
1.555,-0.06,-0.05,0.01
1.557,-0.03,-0.04,0
1.558,0,-0.03,0
1.568,0.03,-0.02,0
1.57,0.08,0,0.01
1.571,0.14,0.02,0.02
1.586,0.21,0.03,0.02
1.588,0.29,0.03,0.02
1.59,0.38,0.02,0.02
1.604,0.47,0,0.01
1.606,0.57,0,0.01
1.608,0.67,-0.02,0.01
1.609,0.79,-0.04,0.01
1.61,0.92,-0.07,0.01
1.628,1.07,-0.09,0.02
1.629,1.23,-0.1,0.03
1.63,1.41,-0.12,0.03
1.631,1.61,-0.14,0.04
1.635,1.83,-0.16,0.04
1.64,2.07,-0.2,0.05
1.645,2.33,-0.25,0.04
1.65,2.61,-0.3,0.04
1.655,2.91,-0.35,0.03
1.671,3.22,-0.39,0.02
1.673,3.54,-0.41,0.01
1.674,3.87,-0.42,0
1.693,4.2,-0.4,0
1.694,4.52,-0.37,0.01
1.696,4.82,-0.31,0.02
1.697,5.1,-0.26,0.05
1.699,5.37,-0.21,0.08
1.7,5.61,-0.18,0.11
1.704,5.84,-0.15,0.16
1.717,6.03,-0.13,0.19
1.719,6.19,-0.14,0.23
1.72,6.32,-0.18,0.25
1.74,6.39,-0.23,0.27
1.742,6.43,-0.28,0.29
1.743,6.43,-0.35,0.32
1.745,6.39,-0.46,0.37
1.746,6.32,-0.55,0.43
1.757,6.22,-0.63,0.5
1.759,6.09,-0.69,0.58
1.76,5.94,-0.75,0.66
1.763,5.77,-0.8,0.74
1.768,5.57,-0.83,0.81
1.773,5.37,-0.83,0.86
1.779,5.14,-0.81,0.88
1.783,4.89,-0.79,0.85
1.789,4.62,-0.78,0.79
1.795,4.35,-0.75,0.72
1.798,4.07,-0.74,0.66
1.802,3.79,-0.7,0.59
1.817,3.54,-0.64,0.53
1.819,3.32,-0.55,0.46
1.82,3.11,-0.47,0.4
